Month,Year,Comments
1,2020,Fantastically friendly people.
1,2020,More vegan options in hotels and airport. i.e soups ect.
1,2020,Port Antonio our favourite of this trip. We did not enjoy Ocho Rios as much as we thought because the hotels were too secluded and the tour a big contrast.
1,2020,Direct flights from Mexico would be nice.
1,2020,Fantastic country. Thank you.
1,2020,"I wouldn't say I was harassed, more approached by a lot of men."
1,2020,The natural beauty of this island is amazing. That the street scene all over is becoming more and more of a slum is sad.
1,2020,Please clean up litter and reduce use of plastic throwaways.
1,2020,"Jamaica, keep up the good work, God is watching over us."
1,2020,Litter was unpleasant. People we met very friendly.
1,2020,Clean up the island.
1,2020,Nice country.
1,2020,"Nice country, just the crime."
1,2020,Better selection alcohol off the resort.
1,2020,I love Jamaica.
1,2020,Additional info for travel is in airport and about resort events.
1,2020,Amazing everything! Loved my stay here.
1,2020,"The resort was beautiful. The people are beautiful, love Jamaica."
1,2020,Great experience. Awesome people.
1,2020,RIU Montego Bay should remain a family resort.
1,2020,Better sidewalk along Ocho Rios main street Island Grill to Sandals.
1,2020,Love Jamaica.
1,2020,Very good all vacation.
1,2020,Love Jamaica. See you soon.
1,2020,Concedes good tourist service style. Warm welcome is important for first impression.
1,2020,More commercial advertising.
1,2020,The people are all friendly and treated us great.
1,2020,Bless up!
1,2020,Better public transport.
1,2020,Thanks for a good trip.
1,2020,The roads are terrible on the outskirts of town.
1,2020,Improve customer service.
1,2020,"We had such a great time, we will definitely come back."
1,2020,This place was litt!
1,2020,The hotel could have been a bit cleaner.
1,2020,"So much fun, great people."
1,2020,We had the best experience.
1,2020,The hotel I stayed at is at Sea Garden hotel Ironshore very nice.
1,2020,I lived and worked in Jamaica. My husband is Jamaican so the tourist scene is very much improved.
1,2020,On a past trip we did not like people trying to sell us stuff on the beach.
1,2020,Had a great time. Thank you for the survey.
1,2020,Stop defining Jam as 3rd world country - get more men working.
1,2020,Really enjoyed our stay as part of our round the world trip.
1,2020,"Improve the roadways of Jamaica. More lanes, wider lanes."
1,2020,Jamaica's the tits mon!
1,2020,Try to clean up the road side. Love this place overall.
1,2020,Dunns River Falls sucks.
1,2020,Thank you.
1,2020,Legalize ganja.
1,2020,Clean up the road sides and beaches.
1,2020,Owens yoga and stretching class at the resort was great! Grand Bahia Principe.
1,2020,Stop harassment at Dunns River Falls.
1,2020,Warn tourists about current exchange rip off.
1,2020,"Need ginger beer, better food and communication with all staff."
1,2020,All great - keep up good work.
1,2020,Air Canada and again delayed. Never will fly Air Canada if I had a choice.
1,2020,You should care more about cleanliness and environment.
1,2020,You should have the relationship girlfriend or boyfriend and partner as a choice for Q24.
1,2020,"Airport was chaotic on our departure date, needs improving."
1,2020,Had a great time.
1,2020,Awesome people.
1,2020,"Friendly, happy people all so helpful. Thank you for a wonderful visit."
1,2020,Great trip! Will visit soon.
2,2020,"beautiful place, beautiful people"
2,2020,everyone was very friendly
2,2020,great time
2,2020,great beach and culture
2,2020,very busy airport!
2,2020,awesome
2,2020,you must improve improve security at blue lagoon
2,2020,love this country
2,2020,loved the sand and water
2,2020,the coral reefs are improving
2,2020,"loved our stay, very relaxing"
2,2020,good time
2,2020,LOVED THE FRIENDLY PEOPLE
2,2020,MORE ROAD SIGNS IN KINGSTON
2,2020,we will be back
2,2020,my wife and I had a wonderful relaxing vacation
2,2020,"BEAUTIFUL PEOPLE, POLITE AND HELPFUL"
2,2020,GREAT TIME
2,2020,it looked cleaner
2,2020,felt very safe at all times. beautiful people and amazing beaches.
2,2020,jamaica feels closer to God than my country
2,2020,less time in ocho rios
2,2020,CLEAR UP THE PLASTIC AND GARBAGE
2,2020,"BEAUTIFUL COUNTRY, BEAUTIFUL PEOPLE"
2,2020,TO MAKE THE TRAVEL TO AND FROM THE AIRPORT
2,2020,people at the airport can be nicer
2,2020,FOUND IT VERY DIFFICULT TO OPEN A BANK ACCOUNT IN JAMAICA. WAY TO TOO MANY REQUIREMENT
2,2020,KEEP GOING UP
2,2020,THE DRIVERS ARE VERY IRRATIC
2,2020,DELAY AT CUSTOMS 1.5-2 HRS WAIT
2,2020,WE LOVE JAMAICA
2,2020,JUST DID NOT LIKE THE HARD SELL OF THE LUXURY PLAN AT THE BAHIA
2,2020,"AMAZING TIME, WILL COME AGAIN"
2,2020,"WONDERFUL PLACE , WISHED I'D VISITED BEFORE"
2,2020,"NUH DUTTY UP JAMAICA, FILL UP POTHOLES"
2,2020,2
2,2020,FIX THE POT HOLES
2,2020,AIRPORT EMPLOYEES WERE RUDE
2,2020,MARGARITAVILLE SUCKED!
2,2020,LOVE THIS PLACE
2,2020,JAMAICA WAS AMAZING
2,2020,WOULD LIKE TO SEE THE RETURN OF FOLK SINGERS TO WELCOME US HOME
2,2020,I LOVE JAMAICA
2,2020,BATHROOMS NEEDED AT ENTRANCE
2,2020,IT WAS FANTASTIC
2,2020,HAD A GREAT TIME
2,2020,LOVE JAMAICA
2,2020,CONTROL THE COUNTRY. WE FEEL THAT PEOPLE ARE NOT HAPPY AND SAD AND THAT LIFE IS HARD
2,2020,WISH I HAD MORE TIME.
2,2020,"JAMAICA TOURS TAXI DRIVER, EXCELLENT!"
2,2020,I WOULD SUGGEST MORE WILDLIFE TOURS
2,2020,"CLEAN KINGSTON, MAKE IT SAFE"
2,2020,BETTER ADS FOR THE THINGS TO DO
2,2020,"GREAT PLACE, VERY HARD TO FIND BATHROOMS AND GARBAGE CANS"
2,2020,"ATM NEEDS TO BE POLICED BETTER, PEOPLE LOITERING, FELT UNSAFE"
2,2020,MEN ALWAYS CAT CALL AT THE BEACH. TOO MANY PEOPLE ASKING FOR MONEY
2,2020,CLEAN UP ALL THE TRASH EVERYWHERE
2,2020,CLEAR OUT DRUG DEALERS
2,2020,"NEED BIGGER AIRPORT , ONE ON THE NORTH COAST"
2,2020,TAXES VERY HIGH ON FOOD
2,2020,SAFETY WAS BIGGEST CONCERN
2,2020,"GOOD, ENJOYABLE VISIT"
2,2020,"I LOVE THIS COUNTRY, WOULD LOVE TO LIVE HERE"
2,2020,COMING FROM CANADA WISHED GANJA WASNT SO TABOO. LESS HARASSMENT WOULD BE NICE
2,2020,"MAKING CHILDREN TAKE SHOES OFF AT SECURITY CHECK, NO!"
2,2020,"IMPROVE IT SYSTEMS, NEEDS BETTER INFASTRUCTURE"
2,2020,PEOPLE WERE EXTREMELY NICE
2,2020,MORE VEGAN FOOD AT RESORT
2,2020,VERY FRUSTRATING BEING HARASSASSED IN THE STREETS / STORES EVENWITH POLICE AROUND
2,2020,"HAD A WONDERFUL TIME, PEOPLE VERY FRIENDLY"
2,2020,WE HAD A GOOD TIME
10,2020,Loved our stay. Only stressful things was getting travel vouchers in time for flight.
10,2020,The website for entry authorized only gave approval for 30 minutes before our flight departed. We submitted our results 10 days in advance.
10,2020,Very safe.
10,2020,Yeah mon.
10,2020,Be back after pandemic Covid 19 over with.
10,2020,Love you Jamaica.
10,2020,We'll be back.
10,2020,The travel authorization seemed a little slow. Website said 2 days or less but took 4 days.
10,2020,Thank you for taking COVID seriously!
10,2020,Travel authorization said to take two days took 4. Got 12 hours before flight.
10,2020,Medical coming in was over 1 1/2 hours.
10,2020,Wish the process getting into Jamaica for example travel authorization process was faster. Almost cancelled my vacation because of it.
10,2020,Wish travel authorization process was easier.
10,2020,Overall fun trip!
10,2020,Faster response time to COVID 19 travel authorization.
10,2020,Had an amazing time.
10,2020,Wonderful safe country.
10,2020,Enhance timeliness of response for travel authorization form.
10,2020,Yah mon!
10,2020,Love your people and culture!
10,2020,We wish you all well through this crisis. We love you all.
10,2020,Travel authorization make it easier!
10,2020,ATM machines for US currency in resorts.
10,2020,"AC needed in airport, drivers to Sandals need to drive better."
10,2020,Loved the staff at Sandals South Coast. Will miss them.
10,2020,Need better timing for COVID scan on arrivals 2 hr wait in line and very rude workers and soldiers.
10,2020,Excellent trip.
10,2020,Keep road clean.
10,2020,Thank you for a great honeymoon.
10,2020,Better attitude for military in airport during pandemic. (Friendlier)
10,2020,Better process for tourist once arriving. Airport in Montego Bay waited three hours for COVID questions.
10,2020,"Was a great time, traffic is crazy though."
10,2020,Yah man!
10,2020,We loved our time. The process getting here during COVID was a little confusing and changing but understandable.
10,2020,Airport staff should be a little more pleasant. Seemed very angry most of the time.
10,2020,Getting COVID test results sooner. We got it the day before we left after calling the US Embassy.
10,2020,It was very difficult getting our travel authorization and we almost cancelled.
10,2020,"Outside, socially distanced seems unnecessary to wear masks especially after testing and sanitizing all the time."
10,2020,Keep doing what you are doing. It was an incredible vacation.
10,2020,Weather prevent scheduled activity.
10,2020,The people are very nice and welcoming. We loved Montego Bay Sandals.
10,2020,Gear things for older crowd. Most things are for younger crowd.
10,2020,Perfect.
10,2020,Painful process registering and testing to come to Jamaica. Will only return after COVID.
10,2020,Everything was great.
10,2020,"Very clean, wish more things were open."
10,2020,Yes teach the US to be kind as your country.
10,2020,We had a great trip. Thank you.
10,2020,Diminish pushings for tipping when mandating services I could do myself.
10,2020,We did not get COVID-19 travel authorization until the night before we planned to leave.
10,2020,"When I filled out TA, put in information that was asked again twice."
10,2020,Favourite vacation spot.
10,2020,A little less hand sanitizer mandators use at the airport. Don't want to be forced to use every 20 ft when it just dried.
10,2020,If you are tested and is negative quarantine for only 7 days instead of plus 7 days.
10,2020,The taxes are too high. Prices are too high for a small bag of chips. Why are they $3? Wendys meal was $12 too high.
10,2020,Speed up approval process.
10,2020,Improve response time to receive the travel aithorization form! Should be 10 days for test and form not 5 days for the form!
10,2020,COVID process should be two check points only not 4! Clearance was longer than the flight.
10,2020,see some improvemnet of the country the infostructure
10,2020,I LOVE THE CULTURE OF THE COUNTRY
10,2020,THE RESORT DEALT WITH THE COVID PROPERLY
10,2020,LOVELY COUNTRY
10,2020,NICE PLACE TO DO BUSINESS
10,2020,LOVELY PLACE FOR VACATION
10,2020,"THE COUNTRY IS BEAUTIFUL ISLAND , i LOVE HOW THEY DEALT WITH COVID"
10,2020,GREAT COUNTRY
10,2020,"REDUCE THE CRIME, THE GOVERNMENT NEEDS TO TAKE SERIOUS ACTION"
10,2020,THE HANDLING OF COVID IS FAIR BUT PEOPLE FAIL TO COMPROMISE
10,2020,"GREAT COUNTRY , WILL VISIT AGAIN"
10,2020,MORE PUBLIC BEACHES. BETTER PHONE SERVICE FOR TRAVEL QUESTIONS NO RESPONSE ON EMAIL AND WHATSAPP
10,2020,"TRAVEL AUTHORIZATION FORM TOOK 3 DAYS NOT 2, IT ALSO HAD MY INCORRECT DOB./ AFTER SENDING VERIFICATION TWICE."
10,2020,EVERYTHING WAS WONDERFUL
10,2020,LOVE THE JAMAICAN PEOPLE
10,2020,EVERYONE VERY PLEASE
10,2020,I WOULD LIKE TO SEE CALYPSO BEING PLAYED
10,2020,HAD A VERY NICE. RELAXING AND FUN TIME. THANK YOU
10,2020,"MY WIFE IS JAMAICAN, WE LOVE JAMAICA"
10,2020,FOOD HAS BECOME WAY TOO EXPENSIVE IN JAMAICA
10,2020,THE ROADS ARE BAD IN KINGSTON
10,2020,BEACHES AND RESORTS ARE BEAUTIFUL
10,2020,great place to visit for vacation
10,2020,its a good place to start a business
10,2020,has a high rate of business opportunities
10,2020,THE WAITING PERIOD FOR THE COVID ASSESSMENT WAS EXTREMELY LENGTHY.
10,2020,NO SOCIAL DISTANCINNG IN THE AIRPORT DOWNLOADING THE APP.
10,2020,GREAT SERVICE
10,2020,THE APP TO DOWNLOAD WASNT WORKING BECAUSE OF INTERNET
10,2020,THE WEBSITE TO APPROVE TRAVEL AUTHORITY WAS EXTREMELY SLOW
10,2020,PROCESS AT CLEARANCE WAS TOO CLOSE TO DEPARTURE TIME.
10,2020,GREAT COUNTRY TO VISIT!
10,2020,THE TRAVEL AUTHORIZATION ONLINE PROCESS NEEDS TOBE STREAMLINED.WE HAD TO REPEAT INPUTTING INFO MULTIPLE TIMES
10,2020,THERE ARE A NUMBER OF RETIRED PEOPLE WHO WANT TO COME HOME. JAMAICA NEEDS TO CLEAN UP THE CRIME AND CORRUPTION
10,2020,very well organized
10,2020,thank you for everything
10,2020,OUR FIRST VISIT. PEOPLE WERE ACCOMODATING . TRULY A BEAUTIFUL EXPERIENCE
10,2020,JAMAICAN PEOPLE ARE SO FRIENDLY
10,2020,AIRPORT LOOKING GOOD
10,2020,THANK YOU
10,2020,COVID TEST AUTHORIZATION NEEDS TO BE FASTER. NERVOUS WE WERE GONNA GET DENIED
10,2020,"GET THE AUTHORIZATION FASTER, WE DIDNT GET IT TILL THE NIGHT BEFORE"
10,2020,PUT THIS ONLINE SO WE DONT HAVE TO TOUCH THE FORMS
10,2020,GREAT EXPERIENCE
10,2020,THE APPROVAL FOR THE AUTHORIZTION TOOK LONGER THAN EXPECTED (GOT IT MORNING BEFORE)
10,2020,DEFINATELY NEED TO IMPROVE COVID-19 PCR TESTING.
10,2020,GREAT AND SAFE PROCEDURES TO COME INTO COUNTRY
10,2020,Thank you
10,2020,PEOPLE HANDLING ENTRANCE FLIGHTS TO THE COUNTRY COULD BE NICER AND NOT TREAT EVERYONE LIKE CRIMINALS
10,2020,AMAZING FIRST VISIT. WILL BE BACK ON MY NEXT VACATION
10,2020,"MORE PEOPLE ANSWERING CALLS FORR AUTHORIZATION, QUICKER APPROVALS"
10,2020,JAMAICANS ARE EXTREMELY POLITE AND HAVE THE BEST CUSTOMER SERVICE IN THE WORLD
10,2020,THE RAIN PREVENTED ACTIVITIES
10,2020,NEED TO TAKE THE COVID SERIOUSLY
10,2020,I NEEDED FEEDBACK LIKE IF I WASNT YET APPROVED HOW LONG WOULD IT TAKE
10,2020,NEED OPEN UP MORE ATTRACTIONS AND EASE THE PROTOCALS TO TRAVEL HERE
10,2020,THANK YOU FOR YOUR HOSPITALITY
10,2020,VERY PLEASED
10,2020,LOVE EVERYTHING
10,2020,LOVED OUR TIME HERE
10,2020,14 DYS QUARATINE EVEN THOUGH HAVING TO GET TESTED IS NOT REALISTIC
10,2020,GIVE ME MORE TIME FOR TRAVEL AUTHORIZATION AND PROVIDE CONTACT #
10,2020,I JUST LOVE JAMAICA
10,2020,BETTER THAN USA
11,2020,"Fantastic food, people and vacation. Safety was nicely implamented."
11,2020,Wonderful trip.
11,2020,Attractions should require masks at all times for employees and customers unless by water.
11,2020,"The process of airport is long, slow and extensive sanitation."
11,2020,Don't like getting COVID-19 test before trip. For us it cost $260 US.
11,2020,"Once arrived, process to get through immigration and customs required too many steps."
11,2020,"Love Jamaica. Vendors expand ideas, sell more stuff, be creative."
11,2020,More direction on rules in hotels.
11,2020,Delta airlines checking earlier times.
11,2020,Can't wait to come back again.
11,2020,COVID impacted activities.
11,2020,Very boring because of COVID.
11,2020,Everyone was very friendly and has terrific passion for Jamaica.
11,2020,We had an amazing time. Love Juici Patties.
11,2020,They need to make sure airlines understand accepted tests. Example rapid antigen.
11,2020,I think I would be much more likely to come back if transportation was easier and cheaper (easier and get off resort and walk around).
11,2020,Excellent stay! Recommended.
11,2020,Need better street signs. Enforce better driving on streets.
11,2020,Loved the culture.
11,2020,Great vacay even during the pandemic. Roads and citizens could be improved.
11,2020,Nope
11,2020,The attention at Lucea hospital was bad.
11,2020,Use tour COVID statistics to attract people. You all are doing great.
11,2020,My family and I are not worried about COVID! We had it. Not a big deal. Would like less masks.
11,2020,Very nice trip. Appreciate all the nice people.
11,2020,Please make sure people at resorts are trained. The man (Everald) was rude and discriminating.
11,2020,Loved it here.
11,2020,"None, our trip was fabulous."
11,2020,Everyone here is so nice.
11,2020,Everything was excellent.
11,2020,Stay healthy Jamaica - we're praying for you.
11,2020,COVID being taken very serious here. I would not suggest taking increased measures.
11,2020,The people were so warm and welcoming. Everyone took COVID measures very seriously. Hand sanitizer was everywhere. We felt very safe from a COVID stand point.
11,2020,Resort is very nice.
11,2020,Jamaica needs major improvement. Scenery of the innercity needs some help the town area too.
11,2020,Jamaica needs to improve more.
11,2020,Great time at the hotel.
11,2020,Yes I do think the price on food is way too costly.
11,2020,One Love.
11,2020,More consistency in COVID protocols provide dates on posted info on website. Data changed from one month ago to one week ago.
11,2020,So nice!
11,2020,Better WiFi service at airport.
11,2020,Great time.
11,2020,Amazing experience we'll be back and recommending to friends.
11,2020,I love Jamaica - stay just the way you are.
11,2020,One love.
11,2020,The registration on Visit Jamaica didn't even get used and we had to fill out another form on arrival.
11,2020,Overall good experience.
11,2020,"Excellent visit, people are friendly and made experience enjoyable even during pandemic."
11,2020,"There is a great need for better internet service, especially during this pandemic with almost everything being done online."
11,2020,Jamaica is beautiful with easy and awesome people.
11,2020,Get rid of resorts and push locally owned establishments to get more money in the hands of the people.
11,2020,Your prices are too high for visitors forcing us not to purchase items.
11,2020,5th trip to Jamaica and always a pleasure - wonderful time.
11,2020,"Had an amazing honeymoon. Thanks, Jamaica."
11,2020,Never asked for COVID test at immigration. Immigration line too long.
11,2020,Improve going through customs to be faster and cool temperature.
11,2020,It was wonderful! So pleasant!
11,2020,Don't lie about prices and steal change.
11,2020,Perfection - can't get any better! Loved it.
11,2020,Online declaration not honored at airport. Had to fill out paperwork again.
11,2020,Need ride sharing service Uber or Lyft.
11,2020,Better inform travelers of restrictions especially since poor cell service makes research hard.
11,2020,Stay the course.
11,2020,Our only concern was lack of social distancing in immigration or customs line.
11,2020,Better training in hospitality or treating guests. Don't rely on tourism as 1/3 of your GDP. It makes people desperate.
11,2020,Jamaica is doing way better than US with COVID-19.
12,2020,wonderful time. thank you
12,2020,qickest customs i ever went through. might add to returning to jamaica.
12,2020,amazing culture and people
12,2020,beautiful people and culture
12,2020,"upon arrival, very condusing. The only part of the trip that was stressful and hundreds were packed in. we were well prepared but couldnt get to where we needed ."
12,2020,cant wait t o come back
12,2020,absolutely loved it here
12,2020,"we love jamaica, will be back"
12,2020,literally could not enjoy myself on the beach due to people harassing us.
12,2020,i love this country
12,2020,fewer vendors at attractions pushing sales please
12,2020,COULD NOT TAKE HAND SANITIZER AS A CARRY ON! WAS ABLE TO TRAVEL AS CARRY ON FROM US
12,2020,BE MORE SPECIFIC WITH RESTRICTIONS OF WHAT CAN GO ON THE PLANE (IZ HAND SANITIZER)
12,2020,we love jamaica
12,2020,the people were wondeful
12,2020,nicest people throughout our entire vacation
12,2020,CLARIFY YOU TAKE REGULAR NASAL PCR
12,2020,WONDERFUL COUNTRY
12,2020,"AIRPORT PROCESS WAS TERRIBLE, INCOMPETENT AND TAINTED TRIP"
12,2020,JULIO IS THE BEST @HYATT RESORT
12,2020,JULIO IS THE BEST
12,2020,LET VISITORS KNOW TO NAKE COPY SIGNATURE PAGE OF THE APPROVED DOCUMENT
12,2020,WE WERE TESTED AND SCREENED BEFORE WE CAME BUT WHAT ABOUT PEOPLE FROM OTHER COUNTRIES LIKE CANADA
12,2020,LOVE BEAUTIFUL JAMAICA
12,2020,I LOVE VISITING JAMAICA- EVERYTIME
12,2020,visit jamaica was extremely useful
12,2020,"had a wonderful visit, thank you. would definately recommend"
12,2020,jamaica is great. the people are awesome. dont let the world change that
12,2020,fire the manager at the hyatt zivas. (richard)
12,2020,FLIGHTS ARE TOO FULL DURING COVID
12,2020,"GREAT EXPERIENCE, HOPE YOU GET MORE BUSINESS SOON"
12,2020,FIX THE POTHOLES ESPECIALLY THE HIGH WAY
12,2020,OUR TRIP TO JAMAICA WAS FABOULOUS. WE WILL BE BACK
12,2020,NEED TO BE ABLE TO CHANGE BIG BILLS FOR TIPS
12,2020,YAH MON
12,2020,"NO PROBLEMS, N O WORRIES IT WAS AWESOME"
12,2020,"BEAUTIFUL COUNTRY, FRIENDLY PEOPLE"
12,2020,PLEASE RECYCLE
12,2020,YOU GUYS DID THE BEST AFTER THESE TIMES. SUPER CLEAN . KEEP IT UP
12,2020,thank you
12,2020,keep doing what you are doing we felt very safe traveling here!
12,2020,please make survey printable. you cant see the fine print on paper
12,2020,I AM TRAUMATIZED BY RIU REGGAE
12,2020,HOTEL NEEDS TO UPDATE INFORMATION ONLINE . EVERYTHING WAS WRONG DOWN TO NO WATER ONE NIGHT
12,2020,HANK YOU!
12,2020,"GREAT ISLAND, THE PEOPLE ARE VERY FRIENDLY"
12,2020,love the people in jamaica
12,2020,thank you for being so kind and welcoming
12,2020,"LOVELY ISLAND, LOVELY PEOPLE. ALL LOVE"
12,2020,JAMAICA IS THE BEST! THANK YOU!
12,2020,LOVELY STAY
12,2020,GREAT JOB KEEPING PEOPLE SAFE
12,2020,WE HAD A WONDERFUL TIME AND WERE VERY PLEASED WITH EVERY ASPECT. WONDERFUL PEOPLES
12,2020,BRING JET SKIS BACK
12,2020,WE DIDNT KNOW WE NEEDED KNOW WE NEEDED THE COPY OF THE COVID FORM WHICH CAUSED DELAYS AT CUSTOMS
12,2020,PRICE LISTS AND PACKAGES FOR EXCURSIONS TO BE READILY AVAILABLE
12,2020,KEEP UP THE GOOD WORK
12,2020,MORE FOOD OPTIONS
12,2020,THE ARRIVAL WITH THE LETTER I DONT MAKE SENSE. WATCH IT
12,2020,everything was good
12,2020,paving roads
12,2020,very good impression
12,2020,lovely store
12,2020,TRAVEL AUTHORIZATIONS AND COVID TEST REQUIREMENTS ADDED ALOT OF STRESS TO TRAVEL
12,2020,I DIDNT SEE ANYTHING ABOUT THE TRAVEL AUTHORIZATION ON THE MOJ PAGE. I ACCIDENTALLY FOUND IT ON AN UNRELATED PAGE . I ALMOST DIDNT KNOW THAT I NEEDED IT
12,2020,SERVICE SHOULD BE A BIT FASTER AT AIRPORT BAR ONLY 3 PERSONS BEING SERVED
12,2020,clean up litter
12,2020,when sending the qr authorization . please specify that the signed quarantine form needs to be printed too
12,2020,airport staff needs to be more welcoming and direct people better
12,2020,have the people in customs and at arrival be more welcoming . and show people where to go
12,2020,i am so happy to be here!
12,2020,"i have been here many times, get better everytime"
12,2020,i expected to not be allowed to go anywhere so i didnt pack enough for the excursionsi did during my trip. we had fun though
12,2020,more training for staff at airport about pacemaker (heart)
12,2020,tell people to print documents since wifi sucks
1,2021,condense this survey
1,2021,open the beaches
1,2021,there needs to be more trash pick up
1,2021,friendliest in all of the caribbean
1,2021,Travel to our resort was a little hectic in lucea it would be nice to have a way to go around the area> but we got to see alot
1,2021,WE WILL MISS THE SUN
1,2021,i had to fill out additional form at AA counter when I Already provided a covid test
1,2021,"COVID TESTING FOR LEAVING NEEDS IMPROVEMENT, FOUND POROCEDURE A BIT CHAOTIC"
1,2021,JAMAICAN PEOPLE NEED TO WEAR MASK TO KEEP THE COVID DOWN
1,2021,A COVID SITE FOR TESTING SHOULD BE IN EVERY PARISH
1,2021,GREAT EXPERIENCE WITH COVID-19 PRECAUTIONS
1,2021,MBJ NEEDS TSA-PRE CHECK ADDITIONA. ALSO SEVERAL PAPERWORK ISSUES
1,2021,IMPROVE WIFI ACCESS. MAKE PAPERWORK ELECTRONIC
1,2021,EVERYTHING WAS PERFECT. YEA MAN
1,2021,NEEDS MORE STREET LIGHTS ON THE ROAD AROUND JAMAICA. BRIGHTEN UP THE ROAD WAYS
1,2021,"GREAT EXPERIENCE, LOVE THE SERVICE"
1,2021,VISITORS NEED TO BETTER UNDERSTAND THAT ITS SAFE TO TRAVEL TO JAMAICA
1,2021,I ONLY INDICATED HARRASMENT BEACUSE ITS TRUE. I KNEW TO EXPECT IT BECAUSE PEOPLE ARE HAVING A HARD TIME
1,2021,EVERYTHING WAS AMAZING. I LOVE JAMAICA
1,2021,VERY FRIENDLY SANDALS CARIBBEAN
1,2021,JAMAICA IS AWESOME
1,2021,"CANT WAIT TO COME BACK! PERFECT, ONE LOVE"
1,2021,OUR TRIP WAS GREAT AND SAFE AND WE CANT WAIT TO RETURN
1,2021,TRAVELING TO JAMAICA WAS EFFORTLESS . I felt very safe and covid protocals were very upto date
1,2021,american airlines should have business class lounge
1,2021,airport needs airline lounges. not private ones
1,2021,LOVED DOCTORS CAVE
1,2021,"WHY DO WE COMPLETE AN IMMIGRATION FORM ONLINE, THEN ANSWER THE SAME ON PAPER"
1,2021,JAMAICA IS BEAUTIFUL
1,2021,GREAT TRIP
1,2021,LIFT RESTRICTIONS
1,2021,PROVIDE MORE TESTING OPTIONS FOR US CITIZENS TO RETURN TO THE US
1,2021,STOP THE CRIME
1,2021,EXCELLENT COVID GUIDELINES
1,2021,MAKE SURE THAT AIRPORT RULES FOR JAMAICA IS CLEAR WHEN IT COMES TO LIQUIDS
1,2021,DOPHIN COVE (CLOSEST TO NEGRIL ) IS RUN DOWN LOOKING. SOME FRESH PAINT.
1,2021,GET LITTLE COUNTRY COUNTRY CLUB TO GET ON APPROVED LIST. WE HAD TO QUARANTINE FOR 2 WEEKS
1,2021,GREAT JOB WITH WEARING MASK AND SANITIZATION. FELT SAFE
1,2021,PRICE OF COVID TEST TOO HIGH
1,2021,"TAKE ADVANTAGE OF THE THINGS JAMAICANS DO BEST. LIKE DANCE, COOK, SING SPEAK"
1,2021,MORE DIRECTION UPON ARRIVAL AS WHERE TO GO
1,2021,END COVID 19 IF POSSIBLE. IT KILLS THE FUN IT WOULD HAVE BEEN MORE PEOPLE AND ENERGY IN THE VACATION
1,2021,PEDDLERS SHOULD NOT BE ALLOWED. HAVE FLEA MARKETS FOR THEM TO GATHER
1,2021,THANK YOU FOR HOSTING US. WE'LL BE BACK SOON!
